GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,key_resp_2.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus size,spatial freq,start contrast,step contrast,end contrast,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.563034399999651,8.563034399999651,space,0.8296972000002825,,,,,,,,,,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
0,0,0,0,0,0,0,0,,,,,1.0,9.4500665999999,10.446997499999725,"(-16, 0)",10.446997499999725,10.446997499999725,left,1,0.5949398000007022,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
0,0,0,0,1,0,1,0,,,,,,11.058980099999644,12.058081499999844,"(-16, 0)",12.058081499999844,12.058081499999844,left,1,0.22992660000045362,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
0,0,0,0,2,0,2,0,,,,,,12.307248599999639,13.308033399999658,"(-16, 0)",13.308033399999658,13.308033399999658,left,1,0.2355558000003839,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
0,0,0,0,3,0,3,0,,,,,,13.557367800000065,14.558102199999666,"(16, 0)",14.558102199999666,14.558102199999666,left,0,0.2525671000003058,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
1,0,1,0,0,0,0,0,,,,,0.8,14.828663399999641,15.828928099999757,"(-16, 0)",15.828928099999757,15.828928099999757,left,1,0.23844950000056997,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
1,0,1,0,1,0,1,0,,,,,,16.086878299999626,17.085697199999686,"(-16, 0)",17.085697199999686,17.085697199999686,left,1,0.18407370000022638,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
1,0,1,0,2,0,2,0,,,,,,17.286365699999806,18.287215699999706,"(16, 0)",18.287215699999706,18.287215699999706,right,1,0.36441599999989194,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
1,0,1,0,3,0,3,0,,,,,,18.66864799999985,19.668984200000068,"(16, 0)",19.668984200000068,19.668984200000068,right,1,0.28821810000044934,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
2,0,2,0,0,0,0,0,,,,,0.6000000000000001,19.975782799999706,20.974552199999835,"(-16, 0)",20.974552199999835,20.974552199999835,left,1,0.21862440000040806,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
2,0,2,0,1,0,1,0,,,,,,21.209942399999818,22.210570299999745,"(-16, 0)",22.210570299999745,22.210570299999745,left,1,0.20767400000067937,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
2,0,2,0,2,0,2,0,,,,,,22.432167599999957,23.432849599999827,"(16, 0)",23.432849599999827,23.432849599999827,left,0,0.2267389000003277,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
2,0,2,0,3,0,3,0,,,,,,23.68180349999966,24.68278650000002,"(16, 0)",24.68278650000002,24.68278650000002,right,1,0.22391700000025594,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
3,0,3,0,0,0,0,0,,,,,0.4000000000000001,24.926569799999925,25.925768300000072,"(-16, 0)",25.925768300000072,25.925768300000072,left,1,0.2123916000000463,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
3,0,3,0,1,0,1,0,,,,,,26.15663859999995,27.15499669999963,"(-16, 0)",27.15499669999963,27.15499669999963,left,1,0.23952500000041255,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
3,0,3,0,2,0,2,0,,,,,,27.417953399999988,28.418789399999696,"(16, 0)",28.418789399999696,28.418789399999696,right,1,0.2513603000002149,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
3,0,3,0,3,0,3,0,,,,,,28.690473799999836,29.689586699999836,"(16, 0)",29.689586699999836,29.689586699999836,right,1,0.18681450000030964,295964,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h07.14.138,iva,2022.2.5,143.81453677295642,
